,Unnamed: 0,Commodity,Country,UNIT_DESC,Year,AMOUNT,Metric Tons
46863,122240,Beef,Mexico,KG,2007,772744.0,772.7439999999999
46864,122241,Beef,Mexico,KG,2007,712129.0,712.1289999999999
46865,122316,Beef,Mexico,CWE,2007,17822.164247999994,808.4133702892798
46866,122317,Beef,Mexico,CWE,2007,91086.162552,4131.66833335872
46867,122318,Beef,Mexico,CWE,2007,78751.302462,3572.1590796763207
46868,122319,Beef,Mexico,CWE,2007,142246.620684,6452.30671422624
46869,122320,Beef,Mexico,CWE,2007,25921.945476,1175.81944679136
46870,122371,Beef,Mexico,CWE,2007,1431271.467108,64922.47374801888
46871,122372,Beef,Mexico,CWE,2007,1514202.732882,68684.23596352754
46872,122373,Beef,Mexico,CWE,2007,1685534.931612,76455.86449792032
46873,122374,Beef,Mexico,CWE,2007,1659780.537408,75287.64517682687
46874,122380,Beef,Mexico,KG,2007,8084.0,8.084
46875,122381,Beef,Mexico,KG,2007,51154.0,51.153999999999996
46876,122382,Beef,Mexico,KG,2007,35721.0,35.72100000000001
46877,122383,Beef,Mexico,KG,2007,25914.0,25.914
46878,122384,Beef,Mexico,KG,2007,11758.0,11.758
46879,130801,Beef,Mexico,CWE,2007,51747.41669328,2347.262821207181
46880,134033,Beef,Mexico,CWE,2007,954330.42204864,43288.42794412631
46881,134034,Beef,Mexico,CWE,2007,1088476.73239536,49373.304581453536
46882,134035,Beef,Mexico,CWE,2007,1199836.06975008,54424.56412386362
46883,134036,Beef,Mexico,CWE,2007,1290837.045708,58552.36839331487
46884,134037,Beef,Mexico,CWE,2007,1057333.53654432,47960.64921765035
46885,135397,Beef,Mexico,NO,2007,33.0,33.0
46886,138674,Beef,Mexico,KG,2007,400481.0,400.481
46887,138675,Beef,Mexico,KG,2007,402819.0,402.819
46888,138690,Beef,Mexico,CWE,2007,1200756.54352752,54466.3168144083
46889,138691,Beef,Mexico,CWE,2007,1183546.38234672,53685.663903247216
46890,143886,Beef,Mexico,KG,2007,34718.0,34.718
46891,145551,Beef,Mexico,NO,2007,69413.0,69413.0
46892,145552,Beef,Mexico,NO,2007,112755.0,112755.0
46893,145553,Beef,Mexico,NO,2007,54375.0,54375.0
46894,145554,Beef,Mexico,NO,2007,55693.0,55693.0
46895,145555,Beef,Mexico,NO,2007,125788.0,125788.0
46896,145556,Beef,Mexico,NO,2007,100606.0,100606.0
46897,148451,Beef,Mexico,NO,2007,38290.0,38290.0
46898,148452,Beef,Mexico,NO,2007,72164.0,72164.0
46899,148696,Beef,Mexico,NO,2007,93880.0,93880.0
46900,148697,Beef,Mexico,NO,2007,167181.0,167181.0
46901,149958,Beef,Mexico,CWE,2007,4491056.50829388,203714.32321621038
46902,149959,Beef,Mexico,CWE,2007,4851221.94476136,220051.42741437527
46903,152504,Beef,Mexico,KG,2007,42059.0,42.059
46904,152505,Beef,Mexico,KG,2007,33553.0,33.553000000000004
46905,152506,Beef,Mexico,KG,2007,21998.0,21.998
46906,157177,Pork,Mexico,KG,2007,546048.0,546.048
46907,157178,Pork,Mexico,KG,2007,654081.0,654.081
46908,157204,Pork,Mexico,KG,2007,556185.0,556.1850000000002
46909,157205,Pork,Mexico,KG,2007,645993.0,645.993
46910,157206,Pork,Mexico,KG,2007,525239.0,525.239
46911,157207,Pork,Mexico,KG,2007,550414.0,550.414
46912,157222,Pork,Mexico,CWE,2007,1188205.89503616,53897.01939884022
46913,157223,Pork,Mexico,CWE,2007,1674556.44316128,75957.88026179565
46914,157467,Beef,Mexico,KG,2007,318292.0,318.2920000000001
46915,157468,Beef,Mexico,KG,2007,363033.0,363.033
46916,157469,Beef,Mexico,KG,2007,414592.0,414.592
46917,157470,Beef,Mexico,KG,2007,459319.0,459.319
46918,157471,Beef,Mexico,KG,2007,352646.0,352.64599999999996
46919,159678,Chicken,Mexico,CWE,2007,35613.463788,1615.4267174236802
46920,159679,Chicken,Mexico,CWE,2007,34431.786396,1561.8258309225598
46921,159795,Chicken,Mexico,KG,2007,34681.0,34.681
46922,159916,Chicken,Mexico,KG,2007,16154.0,16.154
46923,159917,Chicken,Mexico,KG,2007,15618.0,15.618
46924,159922,Chicken,Mexico,CWE,2007,15996.737232,725.6120008435199
46925,159923,Chicken,Mexico,CWE,2007,18595.98657,843.5139508151998
46926,159924,Chicken,Mexico,CWE,2007,86621.803002,3929.1649841707203
46927,160199,Beef,Mexico,CWE,2007,19708.26246144,893.9667852509184
46928,160200,Beef,Mexico,CWE,2007,137209.36806108,6223.816935250588
46929,160201,Beef,Mexico,CWE,2007,151712.56207296,6881.681815629466
46930,160202,Beef,Mexico,CWE,2007,126294.54909372,5728.720746891137
46931,160203,Beef,Mexico,CWE,2007,75552.6164022,3427.066680003792
46932,160204,Beef,Mexico,CWE,2007,154552.46794848,7010.499946143053
46933,160290,Beef,Mexico,CWE,2007,79483.14878112,3605.355628711604
46934,163077,Beef,Mexico,KG,2007,17259.0,17.259
46935,167170,Pork,Mexico,KG,2007,2303.0,2.303
46936,167172,Pork,Mexico,CWE,2007,5889.60358056,267.1524184142016
46937,167338,Pork,Mexico,KG,2007,2590.0,2.59
46938,167340,Pork,Mexico,CWE,2007,6623.566336800001,300.4449690372481
